Source,Target,Type,Rota de ligacao
208,216,Undirected,550
208,219,Undirected,555
208,212,Undirected,55
208,457,Undirected,903
208,212,Undirected,92
208,212,Undirected,955
209,210,Undirected,111
210,211,Undirected,111
211,320,Undirected,111
212,330,Undirected,333
212,331,Undirected,3
212,216,Undirected,505
212,213,Undirected,55
212,213,Undirected,92
212,216,Undirected,955
213,214,Undirected,404
213,216,Undirected,55
213,216,Undirected,92
214,215,Undirected,404
214,215,Undirected,4
214,215,Undirected,944
215,231,Undirected,404
215,235,Undirected,4
215,228,Undirected,944
216,217,Undirected,505
216,217,Undirected,550
216,217,Undirected,55
216,217,Undirected,92
216,217,Undirected,955
217,218,Undirected,505
217,218,Undirected,550
217,218,Undirected,55
217,218,Undirected,92
217,218,Undirected,955
218,219,Undirected,505
218,219,Undirected,550
218,219,Undirected,55
218,219,Undirected,92
218,219,Undirected,955
219,220,Undirected,505
219,220,Undirected,550
219,220,Undirected,555
219,230,Undirected,55
219,220,Undirected,92
219,220,Undirected,955
220,221,Undirected,505
220,221,Undirected,550
220,221,Undirected,555
220,221,Undirected,92
220,221,Undirected,955
221,230,Undirected,505
221,222,Undirected,550
221,222,Undirected,555
221,222,Undirected,92
221,222,Undirected,955
222,223,Undirected,550
222,223,Undirected,555
222,223,Undirected,92
222,223,Undirected,955
223,224,Undirected,550
223,341,Undirected,555
223,224,Undirected,92
223,224,Undirected,955
224,230,Undirected,550
224,230,Undirected,92
224,230,Undirected,955
226,227,Undirected,202
227,229,Undirected,202
228,279,Undirected,944
229,449,Undirected,202
230,328,Undirected,505
230,341,Undirected,550
230,328,Undirected,55
230,320,Undirected,92
230,577,Undirected,955
231,232,Undirected,245
231,232,Undirected,404
232,233,Undirected,245
232,233,Undirected,404
233,250,Undirected,245
233,234,Undirected,404
234,235,Undirected,404
235,236,Undirected,404
235,236,Undirected,4
236,237,Undirected,404
236,237,Undirected,4
237,238,Undirected,404
237,238,Undirected,4
238,239,Undirected,404
238,239,Undirected,4
239,240,Undirected,404
239,240,Undirected,4
240,241,Undirected,404
240,241,Undirected,4
241,242,Undirected,404
241,242,Undirected,4
242,243,Undirected,404
242,243,Undirected,444
242,243,Undirected,4
243,244,Undirected,404
243,253,Undirected,444
243,244,Undirected,4
244,245,Undirected,404
244,245,Undirected,4
245,246,Undirected,404
245,246,Undirected,4
246,247,Undirected,404
246,248,Undirected,4
247,248,Undirected,404
248,250,Undirected,404
248,249,Undirected,4
249,250,Undirected,4
250,251,Undirected,245
250,251,Undirected,404
250,251,Undirected,4
251,257,Undirected,245
251,252,Undirected,404
251,253,Undirected,4
252,320,Undirected,404
253,254,Undirected,444
253,257,Undirected,4
254,255,Undirected,444
255,256,Undirected,444
256,257,Undirected,444
257,258,Undirected,245
257,258,Undirected,444
257,258,Undirected,4
258,259,Undirected,245
258,259,Undirected,444
258,259,Undirected,4
259,272,Undirected,245
